ISO language name,Native name (endonym),639-1,639-2/T,639-2/B,Notes
Abkhazian,"аҧсуа бызшәа, аҧсшәа",ab,abk,abk,also known as Abkhaz
Afar,Afaraf,aa,aar,aar,
Afrikaans,Afrikaans,af,afr,afr,
Akan,Akan,ak,aka,aka,"macrolanguage, Twi is [tw/twi], Fanti is [fat]"
Albanian,Shqip,sq,sqi,alb,"macrolanguage, ""Albanian Phylozone"" in 639-6"
Amharic,አማርኛ,am,amh,amh,
Arabic,العربية,ar,ara,ara,"macrolanguage, Standard Arabic is [arb]"
Aragonese,aragonés,an,arg,arg,
Armenian,Հայերեն,hy,hye,arm,also known as Հայերէն; ISO 639-3 code "hye" is for Eastern Armenian and "hyw" is for Western Armenian
Assamese,অসমীয়া,as,asm,asm,
Avaric,"авар мацӀ, магӀарул мацӀ",av,ava,ava,also known as Avar
Avestan,avesta,ae,ave,ave,ancient
Aymara,aymar aru,ay,aym,aym,macrolanguage
Azerbaijani,azərbaycan dili,az,aze,aze,macrolanguage
Bambara,bamanankan,bm,bam,bam,
Bashkir,башҡорт теле,ba,bak,bak,
Basque,"euskara, euskera",eu,eus,baq,
Belarusian,беларуская мова,be,bel,bel,
Bengali,বাংলা,bn,ben,ben,also known as Bangla
Bihari languages,भोजपुरी,bh,bih,bih,"collective language code for Bhojpuri, Magahi, and Maithili"
Bislama,Bislama,bi,bis,bis,"Language formed from English and Ni-Vanuatu, with some French influence."
Bosnian,bosanski jezik,bs,bos,bos,
Breton,brezhoneg,br,bre,bre,
Bulgarian,български език,bg,bul,bul,
Burmese,ဗမာစာ,my,mya,bur,
"Catalan, Valencian","català, valencià",ca,cat,cat,
Chamorro,Chamoru,ch,cha,cha,
Chechen,нохчийн мотт,ce,che,che,
"Chichewa, Chewa, Nyanja","chiCheŵa, chinyanja",ny,nya,nya,
Chinese,"中文 (Zhōngwén), 汉语, 漢語",zh,zho,chi,macrolanguage
Chuvash,чӑваш чӗлхи,cv,chv,chv,
Cornish,Kernewek,kw,cor,cor,
Corsican,"corsu, lingua corsa",co,cos,cos,
Cree,ᓀᐦᐃᔭᐍᐏᐣ,cr,cre,cre,macrolanguage
Croatian,hrvatski jezik,hr,hrv,hrv,
Czech,"čeština, český jazyk",cs,ces,cze,
Danish,dansk,da,dan,dan,
"Divehi, Dhivehi, Maldivian",ދިވެހި,dv,div,div,
"Dutch, Flemish","Nederlands, Vlaams",nl,nld,dut,
Dzongkha,རྫོང་ཁ,dz,dzo,dzo,
English,English,en,eng,eng,
Esperanto,Esperanto,eo,epo,epo,"constructed, initiated from L.L. Zamenhof, 1887"
Estonian,"eesti, eesti keel",et,est,est,macrolanguage
Ewe,Eʋegbe,ee,ewe,ewe,
Faroese,føroyskt,fo,fao,fao,
Fijian,vosa Vakaviti,fj,fij,fij,
Filipino,Pilipino,fl,fil,fil,
Finnish,"suomi, suomen kieli",fi,fin,fin,
French,"français, langue française",fr,fra,fre,
Fulah,"Fulfulde, Pulaar, Pular",ff,ful,ful,"macrolanguage, also known as Fula"
Galician,Galego,gl,glg,glg,
Georgian,ქართული,ka,kat,geo,
German,Deutsch,de,deu,ger,
Greek (modern),ελληνικά,el,ell,gre,
Guaraní,Avañe'ẽ,gn,grn,grn,macrolanguage
Gujarati,ગુજરાતી,gu,guj,guj,
"Haitian, Haitian Creole",Kreyòl ayisyen,ht,hat,hat,
Hausa,(Hausa) هَوُسَ,ha,hau,hau,
Hebrew (modern),עברית,he,heb,heb,"Changed in 1989 from original ISO 639:1988, iw[1]"
Herero,Otjiherero,hz,her,her,
Hindi,"हिन्दी, हिंदी",hi,hin,hin,
Hiri Motu,Hiri Motu,ho,hmo,hmo,
Hungarian,magyar,hu,hun,hun,
Interlingua,Interlingua,ia,ina,ina,constructed by International Auxiliary Language Association
Indonesian,Bahasa Indonesia,id,ind,ind,"Covered by macrolanguage [ms/msa]. Changed in 1989 from original ISO 639:1988, in[1]."
Interlingue,Originally called Occidental; then Interlingue after WWII,ie,ile,ile,"constructed by Edgar de Wahl, first published in 1922"
Irish,Gaeilge,ga,gle,gle,
Igbo,Asụsụ Igbo,ig,ibo,ibo,
Inupiaq,"Iñupiaq, Iñupiatun",ik,ipk,ipk,macrolanguage
Ido,Ido,io,ido,ido,"constructed by De Beaufront, 1907, as variation of Esperanto"
Icelandic,Íslenska,is,isl,ice,
Italian,Italiano,it,ita,ita,
Inuktitut,ᐃᓄᒃᑎᑐᑦ,iu,iku,iku,macrolanguage
Japanese,日本語 (にほんご),ja,jpn,jpn,
Javanese,"ꦧꦱꦗꦮ, Basa Jawa",jv,jav,jav,
"Kalaallisut, Greenlandic","kalaallisut, kalaallit oqaasii",kl,kal,kal,
Kannada,ಕನ್ನಡ,kn,kan,kan,
Kanuri,Kanuri,kr,kau,kau,macrolanguage
Kashmiri,"कश्मीरी, كشميري"‎,ks,kas,kas,
Kazakh,қазақ тілі,kk,kaz,kaz,
Central Khmer,"ខ្មែរ, ខេមរភាសា, ភាសាខ្មែរ",km,khm,khm,also known as Khmer or Cambodian
"Kikuyu, Gikuyu",Gĩkũyũ,ki,kik,kik,
Kinyarwanda,Ikinyarwanda,rw,kin,kin,
"Kirghiz, Kyrgyz","Кыргызча, Кыргыз тили",ky,kir,kir,
Komi,коми кыв,kv,kom,kom,macrolanguage
Kongo,Kikongo,kg,kon,kon,macrolanguage
Korean,한국어,ko,kor,kor,
Kurdish,"Kurdî, کوردی‎",ku,kur,kur,macrolanguage
"Kuanyama, Kwanyama",Kuanyama,kj,kua,kua,
Latin,"latine, lingua latina",la,lat,lat,ancient
"Luxembourgish, Letzeburgesch",Lëtzebuergesch,lb,ltz,ltz,
Ganda,Luganda,lg,lug,lug,
"Limburgan, Limburger, Limburgish",Limburgs,li,lim,lim,
Lingala,Lingála,ln,lin,lin,
Lao,ພາສາລາວ,lo,lao,lao,
Lithuanian,lietuvių kalba,lt,lit,lit,
Luba-Katanga,Kiluba,lu,lub,lub,also known as Luba-Shaba
Latvian,latviešu valoda,lv,lav,lav,macrolanguage
Manx,"Gaelg, Gailck",gv,glv,glv,
Macedonian,македонски јазик,mk,mkd,mac,
Malagasy,fiteny malagasy,mg,mlg,mlg,macrolanguage
Malay,"Bahasa Melayu, بهاس ملايو‎",ms,msa,may,"macrolanguage, Standard Malay is [zsm], Indonesian is [id/ind]"
Malayalam,മലയാളം,ml,mal,mal,
Maltese,Malti,mt,mlt,mlt,
Maori,te reo Māori,mi,mri,mao,also known as Māori
Marathi,मराठी,mr,mar,mar,also known as Marāṭhī
Marshallese,Kajin M̧ajeļ,mh,mah,mah,
Mongolian,Монгол хэл,mn,mon,mon,macrolanguage
Nauru,Dorerin Naoero,na,nau,nau,also known as Nauruan
"Navajo, Navaho",Diné bizaad,nv,nav,nav,
North Ndebele,isiNdebele,nd,nde,nde,also known as Northern Ndebele
Nepali,नेपाली,ne,nep,nep,
Ndonga,Owambo,ng,ndo,ndo,
Norwegian Bokmål,Norsk Bokmål,nb,nob,nob,Covered by macrolanguage [no/nor]
Norwegian Nynorsk,Norsk Nynorsk,nn,nno,nno,Covered by macrolanguage [no/nor]
Norwegian,Norsk,no,nor,nor,"macrolanguage, Bokmål is [nb/nob], Nynorsk is [nn/nno]"
"Sichuan Yi, Nuosu",ꆈꌠ꒿ Nuosuhxop,ii,iii,iii,Standard form of Yi languages
South Ndebele,isiNdebele,nr,nbl,nbl,also known as Southern Ndebele
Occitan,"occitan, lenga d'òc",oc,oci,oci,
Ojibwa,ᐊᓂᔑᓈᐯᒧᐎᓐ,oj,oji,oji,"macrolanguage, also known as Ojibwe"
"Church Slavic, Church Slavonic, Old Church Slavonic, Old Slavonic, Old Bulgarian",ѩзыкъ словѣньскъ,cu,chu,chu,"ancient, in use by Orthodox Church"
Oromo,Afaan Oromoo,om,orm,orm,macrolanguage
Oriya,ଓଡ଼ିଆ,or,ori,ori,also known as Odia
"Ossetian, Ossetic",ирон æвзаг,os,oss,oss,
"Panjabi, Punjabi",ਪੰਜਾਬੀ,pa,pan,pan,
Pali,पाऴि,pi,pli,pli,"ancient, also known as Pāli"
Persian,فارسی,fa,fas,per,"macrolanguage, also known as Farsi"
Polish,"język polski, polszczyzna",pl,pol,pol,
"Pashto, Pushto",پښتو,ps,pus,pus,macrolanguage
Portuguese,Português,pt,por,por,
Quechua,"Runa Simi, Kichwa",qu,que,que,macrolanguage
Romansh,Rumantsch Grischun,rm,roh,roh,
Rundi,Ikirundi,rn,run,run,also known as Kirundi
"Romanian, Moldavian, Moldovan",Română,ro,ron,rum,"The identifiers mo and mol are deprecated, leaving ro and ron (639-2/T) and rum (639-2/B) the current language identifiers to be used for the variant of the Romanian language also known as Moldavian and Moldovan in English and moldave in French. The identifiers mo and mol will not be assigned to different items, and recordings using these identifiers will not be invalid."
Russian,русский,ru,rus,rus,
Sanskrit,संस्कृतम्,sa,san,san,"ancient, still spoken, also known as Saṃskṛta"
Sardinian,sardu,sc,srd,srd,macrolanguage
Sindhi,"सिन्धी, سنڌي، سندھی‎",sd,snd,snd,
Northern Sami,Davvisámegiella,se,sme,sme,
Samoan,gagana fa'a Samoa,sm,smo,smo,
Sango,yângâ tî sängö,sg,sag,sag,
Serbian,српски језик,sr,srp,srp,The ISO 639-2/T code srp deprecated the ISO 639-2/B code scc[2]
"Gaelic, Scottish Gaelic",Gàidhlig,gd,gla,gla,
Shona,chiShona,sn,sna,sna,
"Sinhala, Sinhalese",සිංහල,si,sin,sin,
Slovak,"Slovenčina, Slovenský Jazyk",sk,slk,slo,
Slovenian,"Slovenski Jezik, Slovenščina",sl,slv,slv,also known as Slovene
Somali,"Soomaaliga, af Soomaali",so,som,som,
Southern Sotho,Sesotho,st,sot,sot,
"Spanish, Castilian",Español,es,spa,spa,
Sundanese,Basa Sunda,su,sun,sun,
Swahili,Kiswahili,sw,swa,swa,macrolanguage
Swati,SiSwati,ss,ssw,ssw,also known as Swazi
Swedish,Svenska,sv,swe,swe,
Tamil,தமிழ்,ta,tam,tam,
Telugu,తెలుగు,te,tel,tel,
Tajik,"тоҷикӣ, toçikī, تاجیکی‎",tg,tgk,tgk,
Thai,ไทย,th,tha,tha,
Tigrinya,ትግርኛ,ti,tir,tir,
Tibetan,བོད་ཡིག,bo,bod,tib,also known as Standard Tibetan
Turkmen,"Türkmen, Түркмен",tk,tuk,tuk,
Tagalog,Wikang Tagalog,tl,tgl,tgl,Note: Filipino (Pilipino) has the code [fil]
Tswana,Setswana,tn,tsn,tsn,
Tongan (Tonga Islands),Faka Tonga,to,ton,ton,
Turkish,Türkçe,tr,tur,tur,
Tsonga,Xitsonga,ts,tso,tso,
Tatar,"татар теле, tatar tele",tt,tat,tat,
Twi,Twi,tw,twi,twi,Covered by macrolanguage [ak/aka]
Tahitian,Reo Tahiti,ty,tah,tah,One of the Reo Mā`ohi (languages of French Polynesia)
"Uighur, Uyghur","ئۇيغۇرچە‎, Uyghurche",ug,uig,uig,
Ukrainian,Українська,uk,ukr,ukr,
Urdu,اردو,ur,urd,urd,
Uzbek,"Oʻzbek, Ўзбек, أۇزبېك‎",uz,uzb,uzb,macrolanguage
Venda,Tshivenḓa,ve,ven,ven,
Vietnamese,Tiếng Việt,vi,vie,vie,
Volapük,Volapük,vo,vol,vol,constructed
Walloon,Walon,wa,wln,wln,
Welsh,Cymraeg,cy,cym,wel,
Wolof,Wollof,wo,wol,wol,
Western Frisian,Frysk,fy,fry,fry,also known as Frisian
Xhosa,isiXhosa,xh,xho,xho,
Yiddish,ייִדיש,yi,yid,yid,"macrolanguage. Changed in 1989 from original ISO 639:1988, ji.[1]"
Yoruba,Yorùbá,yo,yor,yor,
"Zhuang, Chuang","Saɯ cueŋƅ, Saw cuengh",za,zha,zha,macrolanguage
Zulu,isiZulu,zu,zul,zul,
